english,idordabanki_icelandic,collection_code,collection_name,idordabanki_id,confidence,openstax_definition,caution,editor_decision,editor_notes
blood urea nitrogen (BUN),blóðúreanitur,LAEKN,Læknisfræði,537557,DOMAIN_PLAUSIBLE,estimate of urea in the blood and an indicator of kidney function,,,
botulism,bótúlíneitrun,LAEKN,Læknisfræði,718545,DOMAIN_PLAUSIBLE,disease produced by the toxin of the anaerobic bacterium Clostridium botulinum,,,
carbaminohemoglobin,koltvísýringsrauði,LAEKN,Læknisfræði,775135,DOMAIN_PLAUSIBLE,molecule that forms when carbon dioxide binds to hemoglobin,,,
carbonic anhydrase (CA),kolsýruanhýdrasi,LAEKN,Læknisfræði,356632,DOMAIN_PLAUSIBLE,enzyme that catalyzes carbon dioxide and water into carbonic acid,,,
carboxypeptidase,karboxýlpeptíðasi,LAEKN,Læknisfræði,533234,DOMAIN_PLAUSIBLE,protease that breaks down peptides to single amino acids; secreted by the brush border of the small intestine,,,
chemotroph,efnabjarga baktería,LAEKN,Læknisfræði,718264,DOMAIN_PLAUSIBLE,organism that obtains energy from chemical compounds,,,
chloride shift,klórskipti,LAEKN,Læknisfræði,366184,DOMAIN_PLAUSIBLE,exchange of chloride for bicarbonate into or out of the red blood cell,,,
cholecystokinin,gallblöðruhreyfill,LAEKN,Læknisfræði,348047,DOMAIN_PLAUSIBLE,hormone that stimulates the contraction of the gallbladder to release bile,,,
circadian,dægur-,LAEKN,Læknisfræði,372863,DOMAIN_PLAUSIBLE,describes a time cycle about one day in length,,,
denature,breyta eðli,LAEKN,Læknisfræði,371393,DOMAIN_PLAUSIBLE,process that changes a substance's natural properties,,,
dephosphorylation,affosfórun,LAEKN,Læknisfræði,351126,DOMAIN_PLAUSIBLE,removal of a phosphate group from a molecule,,,
distal convoluted tubule (DCT),fjarhlykkjapípla,LAEKN,Læknisfræði,356984,DOMAIN_PLAUSIBLE,part of the renal tubule that is the most distant from the glomerulus,,,
dorsiflexion,afturbeygja,LAEKN,Læknisfræði,526326,DOMAIN_PLAUSIBLE,bending at the ankle such that the toes are lifted toward the knee,,,
elastase,elastasi,LAEKN,Læknisfræði,356173,DOMAIN_PLAUSIBLE,pancreatic protease,,,
estradiol,östradíól,LAEKN,Læknisfræði,365185,DOMAIN_PLAUSIBLE,"most potent form of estrogen that is responsible for the development of female secondary female characteristics, maintenance of female reproductive organs, and preparation for pregnancy",,,
fecundity,frjósemi,LAEKN,Læknisfræði,365566,DOMAIN_PLAUSIBLE,potential reproductive capacity of an individual,,,
forearm,framarmur,LAEKN,Læknisfræði,366916,DOMAIN_PLAUSIBLE,extends from the elbow to the wrist and consists of two bones: the ulna and the radius,,,
furcula,neðantálknbogahæð,LAEKN,Læknisfræði,362910,DOMAIN_PLAUSIBLE,wishbone formed by the fusing of the clavicles,,,
genetic testing,erfðarannsóknir,LAEKN,Læknisfræði,774026,DOMAIN_PLAUSIBLE,process of testing for the presence of disease-causing genes,,,
glomerular filtration rate (GFR),gaukulsíunarhraði,LAEKN,Læknisfræði,773873,DOMAIN_PLAUSIBLE,amount of filtrate formed by the glomerulus per minute,,,
goiter,keppur,LAEKN,Læknisfræði,351584,DOMAIN_PLAUSIBLE,enlargement of the thyroid gland caused by insufficient dietary iodine levels,,,
gonadotropin,kynhormónakveikja,LAEKN,Læknisfræði,355451,DOMAIN_PLAUSIBLE,"hormone that regulates the gonads, including FSH and LH",,,
gustation,bragðskyn,LAEKN,Læknisfræði,354631,DOMAIN_PLAUSIBLE,sense of taste,,,
horizontal transmission,lárétt dreifing,LAEKN,Læknisfræði,728860,DOMAIN_PLAUSIBLE,transmission of a disease between unrelated individuals,,,
hyperglycemia,blóðsykurshækkun,LAEKN,Læknisfræði,533723,DOMAIN_PLAUSIBLE,high blood sugar level,,,
inner cell mass,innri frumumassi,LAEKN,Læknisfræði,343237,DOMAIN_PLAUSIBLE,inner layer of cells in the blastocyst,,,
intervertebral disc,hryggþófi,LAEKN,Læknisfræði,723869,DOMAIN_PLAUSIBLE,composed of fibrous cartilage; lies between adjacent vertebrae from the second cervical vertebra to the sacrum,,,
isomerase,ísómerasi,LAEKN,Læknisfræði,350486,DOMAIN_PLAUSIBLE,enzyme that converts a molecule into its isomer,,,
life history,lífssaga,LAEKN,Læknisfræði,932813,DOMAIN_PLAUSIBLE,inherited pattern of resource allocation under the influence of natural selection and other evolutionary forces,,,
maltase,maltasi,LAEKN,Læknisfræði,348971,DOMAIN_PLAUSIBLE,enzyme that breaks down maltose into glucose,,,
mitosome,spóluleifar,LAEKN,Læknisfræði,356064,DOMAIN_PLAUSIBLE,nonfunctional organelle carried in the cells of diplomonads (Excavata) that likely evolved from a mitochondrion,,,
monogamy,einkvæni,LAEKN,Læknisfræði,356269,DOMAIN_PLAUSIBLE,mating system whereby one male and one female remain coupled for at least one mating season,,,
mucin,músín,LAEKN,Læknisfræði,357915,DOMAIN_PLAUSIBLE,complex glycoprotein found in mucus,,,
mycetismus,sveppaeitrun,LAEKN,Læknisfræði,343184,DOMAIN_PLAUSIBLE,ingestion of toxins in poisonous mushrooms,,,
olfaction,þefskyn,LAEKN,Læknisfræði,344998,DOMAIN_PLAUSIBLE,sense of smell,,,
pandemic,fjöllendur,LAEKN,Læknisfræði,362094,DOMAIN_PLAUSIBLE,"widespread, usually worldwide, epidemic disease",,,
pepsinogen,forpepsín,LAEKN,Læknisfræði,345506,DOMAIN_PLAUSIBLE,inactive form of pepsin,,,
phosphodiesterase,fosfórdíesterasi,LAEKN,Læknisfræði,348011,DOMAIN_PLAUSIBLE,"enzyme that degrades cAMP, producing AMP, to terminate signaling",,,
phosphodiesterase (PDE),fosfórdíesterasi,LAEKN,Læknisfræði,348011,DOMAIN_PLAUSIBLE,"enzyme that deactivates cAMP, stopping hormone activity",,,
physiological dead space,lífeðlisfræðilegt loftskiptaleysisrými,LAEKN,Læknisfræði,537310,DOMAIN_PLAUSIBLE,"(also, physiological shunt) region of the lung that lacks proper ventilation/perfusion due to a physiological change in the lung (like inflammation or edema)",,,
polyandry,fjölveri,LAEKN,Læknisfræði,346815,DOMAIN_PLAUSIBLE,mating system where one female mates with many males,,,
prometaphase,I. formiðfasi,LAEKN,Læknisfræði,345165,DOMAIN_PLAUSIBLE,stage of mitosis during which the nuclear membrane breaks down and mitotic spindle fibers attach to kinetochores,,,
proximal convoluted tubule (PCT),nærhlykkjapípla,LAEKN,Læknisfræði,350567,DOMAIN_PLAUSIBLE,part of the renal tubule that lies close to the glomerulus,,,
receptive field,móttökusvæði,LAEKN,Læknisfræði,358924,DOMAIN_PLAUSIBLE,region in space in which a stimulus can activate a given sensory receptor,,,
residence time,dvalartími,LAEKN,Læknisfræði,363928,DOMAIN_PLAUSIBLE,measure of the average time an individual water molecule stays in a particular reservoir,,,
serendipity,slembifundur,LAEKN,Læknisfræði,356588,DOMAIN_PLAUSIBLE,fortunate accident or a lucky surprise,,,
somatostatin,vaxtarhormónsandvaki,LAEKN,Læknisfræði,363883,DOMAIN_PLAUSIBLE,hormone released to stop acid secretion when the stomach is empty,,,
spirometry,öndunarmæling,LAEKN,Læknisfræði,358931,DOMAIN_PLAUSIBLE,method to measure lung volumes and to diagnose lung diseases,,,
synarthrosis,samliður,LAEKN,Læknisfræði,724488,DOMAIN_PLAUSIBLE,joint that is immovable,,,
thalassemia,miðjarðarhafsblóðleysi,LAEKN,Læknisfræði,928584,DOMAIN_PLAUSIBLE,"rare genetic disorder that results in mutation of the alpha or beta subunits of hemoglobin, creating smaller red blood cells with less hemoglobin",,,
thermoregulation,hitatemprun,LAEKN,Læknisfræði,352494,DOMAIN_PLAUSIBLE,regulation of body temperature,,,
thyroglobulin,skjaldglóbúlín,LAEKN,Læknisfræði,347406,DOMAIN_PLAUSIBLE,glycoprotein found in the thyroid that is converted into thyroid hormone,,,
tropomyosin,trópómýósín,LAEKN,Læknisfræði,352875,DOMAIN_PLAUSIBLE,"acts to block myosin binding sites on actin molecules, preventing cross-bridge formation and preventing contraction until a muscle receives a neuron signal",,,
troponin,trópónín,LAEKN,Læknisfræði,355653,DOMAIN_PLAUSIBLE,"binds to tropomyosin and helps to position it on the actin molecule, and also binds calcium ions",,,
vasodilator,æðavíkkari,LAEKN,Læknisfræði,537191,DOMAIN_PLAUSIBLE,compound that increases the diameter of blood vessels,,,
zoonosis,dýra- og mannasjúkdómur,LAEKN,Læknisfræði,531897,DOMAIN_PLAUSIBLE,disease that primarily infects animals that is transmitted to humans,,,
coral reef,kóralrif,LAND,Landafræði,378959,DOMAIN_PLAUSIBLE,"ocean ridges formed by marine invertebrates living in warm, shallow waters within the photic zone",,,
estuary,ármynni,LAND,Landafræði,377910,DOMAIN_PLAUSIBLE,"biomes where a source of fresh water, such as a river, meets the ocean",,,
fallout,geislavirkt ryk,LAND,Landafræði,375131,DOMAIN_PLAUSIBLE,direct deposit of solid minerals on land or in the ocean from the atmosphere,,,
silt,árframburður,LAND,Landafræði,375542,DOMAIN_PLAUSIBLE,soil particles between 0.002 and 0.1 mm in diameter,,,
survivorship curve,eftirlifendalína,LAND,Landafræði,377878,DOMAIN_PLAUSIBLE,graph of the number of surviving population members versus the relative age of the member,,,
thermocline,hitaskiptalag,LAND,Landafræði,377830,DOMAIN_PLAUSIBLE,layer of water with a temperature that is significantly different from that of the surrounding layers,,,
weather,óveður,LAND,Landafræði,378545,DOMAIN_PLAUSIBLE,conditions of the atmosphere during a short period of time,,,
zero population growth,núll vöxtur mannfjöldans,LAND,Landafræði,375887,DOMAIN_PLAUSIBLE,steady population size where birth rates and death rates are equal,,,
angiotensin converting enzyme (ACE),angíótensín breytiensím,LYFJAFRLYFJASTOFNUN,Lyfjafræði - Lyfjastofnun,524240,DOMAIN_PLAUSIBLE,enzyme that converts angiotensin I to angiotensin II,,,
down-regulation,fækkun,LYFJAFRLYFJASTOFNUN,Lyfjafræði - Lyfjastofnun,537661,DOMAIN_PLAUSIBLE,a decrease in the number of hormone receptors in response to increased hormone levels,,,
first messenger,ytra boðefni,LYFJAFRLYFJASTOFNUN,Lyfjafræði - Lyfjastofnun,539564,DOMAIN_PLAUSIBLE,the hormone that binds to a plasma membrane hormone receptor to trigger a signal transduction pathway,,,
transporter,ferja,LYFJAFRLYFJASTOFNUN,Lyfjafræði - Lyfjastofnun,539453,DOMAIN_PLAUSIBLE,specific carrier proteins or pumps that facilitate movement,,,
up-regulation,stýrð fjölgun,LYFJAFRLYFJASTOFNUN,Lyfjafræði - Lyfjastofnun,539442,DOMAIN_PLAUSIBLE,an increase in the number of hormone receptors in response to increased hormone levels,,,
consensus,samhljóða,PISCES,Sjávarútvegsmál (PISCES),406976,DOMAIN_PLAUSIBLE,DNA sequence that is used by many species to perform the same or similar functions,,,
