english,icelandic,alternatives,category,notes,definition_en,definition_is
calorie (cal),kalóría (cal),,other,,unit of heat or other energy; the amount of energy required to raise 1 gram of water by 1 degree Celsius; 1 cal is defined as 4.184 J,"eining fyrir varma eða aðra orku; orkumagnið sem þarf til að hækka hitastig 1 gramms af vatni um 1 gráðu á Celsíus; 1 cal er skilgreint sem 4,184 J"
calorimeter,kaloríumælir,,other,,device used to measure the amount of heat absorbed or released in a chemical or physical process,tæki sem notað er til að mæla magn varma sem frásogast eða losnar í efna- eða eðlisfræðilegu ferli
calorimetry,kaloríumæling,,other,,process of measuring the amount of heat involved in a chemical or physical process,ferlið við að mæla magn varma sem tekur þátt í efna- eða eðlisfræðilegu ferli
chalcogen,kalkógen,,other,,element in group 16,frumefni í hópi 16
chemical symbol,efnatákn,,other,,"one-, two-, or three-letter abbreviation used to represent an element or its atoms","eins, tveggja eða þriggja stafa skammstöfun sem notuð er til að tákna frumefni eða atóm þess"
chemical thermodynamics,efnavarmafræði,,other,,"area of science that deals with the relationships between heat, work, and all forms of energy associated with chemical and physical processes","vísindasvið sem fjallar um tengslin milli varma, vinnu og allra orkuforma sem tengjast efna- og eðlisfræðilegum ferlum"
combustion analysis,brunagreining,,other,,gravimetric technique used to determine the elemental composition of a compound via the collection and weighing of its gaseous combustion products,þyngdarmælingaraðferð sem notuð er til að ákvarða frumefnasamsetningu efnasambands með söfnun og vigtun á loftkenndum myndefnum bruna þess
combustion reaction,brunahvarf,,other,,"vigorous redox reaction producing significant amounts of energy in the form of heat and, sometimes, light",kröftugt oxunar-afoxunarhvarf sem framleiðir umtalsvert magn af orku í formi varma og stundum ljóss
complete ionic equation,Heildarjónajafna,,other,,"chemical equation in which all dissolved ionic reactants and products, including spectator ions, are explicitly represented by formulas for their dissociated ions","Efnajafna þar sem öll uppleyst jónísk hvarfefni og myndefni, þar með taldar áhorfendajónir, eru sýnd með formúlum fyrir klofnuðu jónirnar sínar"
compressibility factor (Z),samþjappanleikastuðull (Z),,other,,ratio of the experimentally measured molar volume for a gas to its molar volume as computed from the ideal gas equation,hlutfallið milli mólrúmmáls gass sem mælt er með tilraun og mólrúmmáls þess eins og það er reiknað út frá jöfnu kjörgass
concentrated,óþynnt,,other,,qualitative term for a solution containing solute at a relatively high concentration,þáttbundið hugtak yfir lausn sem inniheldur uppleyst efni í tiltölulega háum styrk
covalent compound,samgilt efnasamband,,other,,"(also, molecular compound) composed of molecules formed by atoms of two or more different elements",(einnig sameindaefnasamband) samsett úr sameindum sem myndaðar eru af atómum tveggja eða fleiri mismunandi frumefna
dissolved,uppleyst,,other,,describes the process by which solute components are dispersed in a solvent,lýsir ferlinu þar sem uppleystir efnisþættir dreifast í leysi
effusion,útstreymi,,other,,transfer of gaseous atoms or molecules from a container to a vacuum through very small openings,flutningur loftkenndra atóma eða sameinda úr íláti yfir í lofttæmi í gegnum mjög lítil op
elementary reaction,grunnskrefshvarf,,other,,"reaction that takes place in a single step, precisely as depicted in its chemical equation","hvarf sem á sér stað í einu skrefi, nákvæmlega eins og sýnt er í efnajöfnu þess"
empirical formula mass,massi reynsluformúlu,,other,,sum of average atomic masses for all atoms represented in an empirical formula,summa meðalatómmassa allra atóma í reynsluformúlu
end point,jafngildispunktur,,other,,measured volume of titrant solution that yields the change in sample solution appearance or other property expected for stoichiometric equivalence (see equivalence point),mælt rúmmál títrantslausnar sem veldur breytingu á útliti sýnislausnar eða öðrum eiginleikum sem búist er við fyrir efnajafngildi (sjá jafngildispunktur)
endothermic process,innvermið ferli,,other,,chemical reaction or physical change that absorbs heat,efnahvarf eða eðlisbreyting sem gleypir varma
exact number,nákvæm tala,,other,,number derived by counting or by definition,tala fengin með talningu eða samkvæmt skilgreiningu
excess reactant,umframhvarfefni,,other,,reactant present in an amount greater than required by the reaction stoichiometry,hvarfefni sem er til staðar í meira magni en hlutfallaefnafræði hvarfsins krefst
exothermic process,útvermið ferli,,other,,chemical reaction or physical change that releases heat,efnahvarf eða eðlisbreyting sem losar varma
expansion work (pressure-volume work),þensluvinna (þrýstings-rúmmálsvinna),,other,,work done as a system expands or contracts against external pressure,vinna sem er unnin þegar kerfi þenst út eða dregst saman gegn ytri þrýstingi
extensive property,magnbundinn eiginleiki,,other,,property of a substance that depends on the amount of the substance,eiginleiki efnis sem fer eftir magni efnisins
eðlisvarmi (c),eðlisvarmi (c),,other,,,innri eiginleiki efnis sem táknar það varmamagn sem þarf til að hækka hitastig 1 gramms af efninu um 1 gráðu á Celsíus (eða 1 kelvin)
first law of thermodynamics,fyrsta lögmál varmafræðinnar,,other,,internal energy of a system changes due to heat flow in or out of the system or work done on or by the system,innri orka kerfis breytist vegna varmaflæðis inn í eða út úr kerfinu eða vinnu sem er unnin á kerfinu eða af því
formula mass,formúlumassi,,other,,"sum of the average masses for all atoms represented in a chemical formula; for covalent compounds, this is also the molecular mass",summa meðalmassa allra atóma sem koma fram í efnaformúlu; fyrir samgild efnasambönd er þetta einnig sameindamassinn
fundamental unit of charge,grunneining hleðslu,,other,,(also called the elementary charge) equals the magnitude of the charge of an electron (e) with e = 1.602 × 10−19 C,"(einnig kölluð einingarhleðsla) jafngildir stærð hleðslu rafeindar (e) þar sem e = 1,602 × 10−19 C"
gravimetric analysis,þyngdarmælingagreining,,other,,"quantitative chemical analysis method involving the separation of an analyte from a sample by a physical or chemical process and subsequent mass measurements of the analyte, reaction product, and/or sample","magnbundin efnagreiningaraðferð sem felur í sér aðskilnað greiningarefnis frá sýni með eðlisfræðilegu eða efnafræðilegu ferli og síðan massamælingar á greiningarefninu, myndefninu og/eða sýninu"
half-reaction,hálfhvarf,,other,,an equation that shows whether each reactant loses or gains electrons in a reaction.,jafna sem sýnir hvort hvert hvarfefni tapar eða fær rafeindir í hvarfi.
helmingunartími hvarfs (t1/2),helmingunartími hvarfs (t1/2),,other,,,tími sem það tekur fyrir helming af tilteknu magni hvarfefnis að eyðast
heterogeneous catalyst,misleitur hvati,,other,,"catalyst present in a different phase from the reactants, furnishing a surface at which a reaction can occur",hvati sem er í öðrum fasa en hvarfefnin og myndar yfirborð þar sem hvarf getur átt sér stað
heterogeneous equilibria,misleitt jafnvægi,,other,,equilibria in which reactants and products occupy two or more different phases,jafnvægi þar sem hvarfefni og myndefni eru í tveimur eða fleiri mismunandi fösum
heterogeneous mixture,misleit blanda,,other,,combination of substances with a composition that varies from point to point,blanda efna með samsetningu sem er breytileg eftir staðsetningu
homogeneous catalyst,einsleitur hvati,,other,,catalyst present in the same phase as the reactants,hvati sem er í sama fasa og hvarfefnin
homogeneous equilibria,einsleitt jafnvægi,,other,,equilibria in which all reactants and products occupy the same phase,jafnvægi þar sem öll hvarfefni og myndefni eru í sama fasa
homogeneous mixture,einsleit blanda,,other,,"(also, solution) combination of substances with a composition that is uniform throughout",(einnig lausn) blanda efna með samsetningu sem er einsleit í gegn
hraðafasti (k),hraðafasti (k),,other,,,jöfnunarfasti í hraðajöfnu
hvarfstuðull (Q),hvarfstuðull (Q),,other,,,stærðfræðilegt fall sem lýsir hlutfallslegu magni hvarfefna og myndefna í efnablöndu; má gefa upp með styrk (Qc) eða þrýstingi (Qp)
hydrate,hýdrat,,other,,compound containing one or more water molecules bound within its crystals,efnasamband sem inniheldur eina eða fleiri vatnssameindir bundnar innan kristalla sinna
hydrocarbon,kolvetni,,other,,compound composed only of hydrogen and carbon; the major component of fossil fuels,efnasamband sem samanstendur eingöngu af vetni og kolefni; aðalefnið í jarðefnaeldsneyti
hydrostatic pressure,vökvastöðuþrýstingur,,other,,pressure exerted by a fluid due to gravity,þrýstingur sem vökvi beitir vegna þyngdarafls
hypothesis,tilgáta,,other,,tentative explanation of observations that acts as a guide for gathering and checking information,bráðabirgðaútskýring á athugunum sem er leiðarvísir við söfnun og yfirferð upplýsinga
inert gas,hlutlaust gas,,other,,"(also, noble gas) element in group 18",(einnig eðalgas) frumefni í hópi 18
inner transition metal,innri hliðarmálmur,,other,,"(also, lanthanide or actinide) element in the bottom two rows; if in the first row, also called lanthanide, or if in the second row, also called actinide","(einnig lanþaníð eða aktiníð) frumefni í tveimur neðstu röðunum; ef í fyrstu röðinni, einnig kallað lanþaníð, eða ef í annarri röðinni, einnig kallað aktiníð"
innri orka (U),innri orka (U),,other,,,heildarsumma allra mögulegra tegunda orku sem er til staðar í efni eða efnum
intensive property,eigindlegur eiginleiki,,other,,property of a substance that is independent of the amount of the substance,eiginleiki efnis sem er óháður magni efnisins
isomers,ísómerur,,other,,compounds with the same chemical formula but different structures,efnasambönd með sömu efnaformúlu en ólíka byggingu
isotopes,samsætur,,other,,atoms that contain the same number of protons but different numbers of neutrons,atóm sem innihalda sama fjölda róteinda en mismunandi fjölda nifteinda
jafnvægisfasti (K),jafnvægisfasti (K),,other,,,gildi hvarfstuðuls fyrir kerfi í jafnvægi; má gefa upp með styrk (Kc) eða hlutþrýstingi (Kp)
joule (J),júl (J),,other,,"SI unit of energy; amount of energy used when a force of 1 newton moves an object 1 meter, 1 J = 1 kg m2/s2 and 4.184 J = 1 cal","SI-eining orku; orkumagn sem notað er þegar kraftur upp á 1 njúton færir hlut um 1 metra, 1 J = 1 kg m2/s2 og 4.184 J = 1 cal"
kilogram (kg),kílógramm (kg),,other,,standard SI unit of mass,stöðluð SI-eining massa
kinetic molecular theory,hreyfifræðikenning sameinda,,other,,theory based on simple principles and assumptions that effectively explains ideal gas behavior,kenning sem byggir á einföldum meginreglum og forsendum sem útskýra á áhrifaríkan hátt hegðun kjörgass
kjörgasfastinn (R),kjörgasfastinn (R),,other,,,"fasti fenginn úr kjörgasjöfnunni R = 0,08206 L atm mól–1 K–1 eða 8,314 L kPa mól–1 K–1"
law,lögmál,,other,,"statement that summarizes a vast number of experimental observations, and describes or predicts some aspect of the natural world",staðhæfing sem tekur saman fjölda tilraunaathugana og lýsir eða spáir fyrir um einhvern þátt náttúrunnar
law of conservation of matter,lögmálið um varðveislu efnis,,other,,"when matter converts from one type to another or changes form, there is no detectable change in the total amount of matter present",þegar efni breytist úr einni tegund í aðra eða breytir um form verður engin greinanleg breyting á heildarmagni efnisins
law of constant composition,lögmálið um fasta efnasamsetningu,,other,,"(also, law of definite proportions) all samples of a pure compound contain the same elements in the same proportions by mass","(einnig, lögmálið um föst efnahlutföll) öll sýni af hreinu efnasambandi innihalda sömu frumefnin í sömu hlutföllum miðað við massa"
law of definite proportions,lögmálið um föst efnahlutföll,,other,,"(also, law of constant composition) all samples of a pure compound contain the same elements in the same proportions by mass","(einnig, lögmálið um fasta efnasamsetningu) öll sýni af hreinu efnasambandi innihalda sömu frumefnin í sömu hlutföllum miðað við massa"
law of multiple proportions,lögmálið um margföld efnahlutföll,,other,,"when two elements react to form more than one compound, a fixed mass of one element will react with masses of the other element in a ratio of small whole numbers","þegar tvö frumefni hvarfast og mynda fleiri en eitt efnasamband, mun fastur massi af einu frumefni hvarfast við massa hins frumefnisins í hlutfalli lítilla heilla talna"
length,lengd,,other,,measure of one dimension of an object,mælikvarði á eina vídd hlutar
liter (L),lítri (L),,other,,"(also, cubic decimeter) unit of volume; 1 L = 1,000 cm3",(einnig rúmdesimetri) eining rúmmáls; 1 L = 1.000 cm3
macroscopic domain,stórsætt svið,,other,,realm of everyday things that are large enough to sense directly by human sight and touch,svið hversdagslegra hluta sem eru nógu stórir til að vera skynjaðir beint með sjón og snertingu manna
main-group element,aðalflokka frumefni,,other,,"(also, representative element) element in groups 1, 2, and 13–18","(einnig, dæmigert frumefni) frumefni í hópum 1, 2 og 13–18"
manometer,þrýstimælir,,other,,device used to measure the pressure of a gas trapped in a container,tæki sem notað er til að mæla þrýsting gass sem er lokað inni í íláti
mass number (A),massatala (A),,other,,sum of the numbers of neutrons and protons in the nucleus of an atom,summa fjölda nifteinda og róteinda í kjarna atóms
mass-volume percent,massa-rúmmálsprósenta,,other,,"ratio of solute mass to solution volume, expressed as a percentage","hlutfall massa uppleysts efnis á móti rúmmáli lausnar, gefið upp sem prósenta"
mean free path,meðalfrívegalengd,,other,,average distance a molecule travels between collisions,meðalvegalengd sem sameind ferðast á milli árekstra
meter (m),metri (m),,other,,standard metric and SI unit of length; 1 m = approximately 1.094 yards,"stöðluð metra- og SI-eining lengdar; 1 m = u.þ.b. 1,094 yardar"
method of initial rates,aðferð upphafshraða,,other,,common experimental approach to determining rate laws that involves measuring reaction rates at varying initial reactant concentrations,algeng tilraunaaðferð til að ákvarða hraðajöfnur sem felur í sér að mæla hvarfhraða við mismunandi upphafsstyrk hvarfefna
meðalferningsrótarhraði (urms),meðalferningsrótarhraði (urms),,other,,,"mælikvarði á meðalhraða fyrir hóp einda, reiknaður sem kvaðratrót meðaltals kvaðrats hraðans"
microscopic domain,smásætt svið,,other,,realm of things that are much too small to be sensed directly,svið hluta sem eru allt of litlir til að vera skynjaðir beint
milliliter (mL),millilítri (mL),,other,,"1/1,000 of a liter; equal to 1 cm3",1/1.000 úr lítra; jafngildir 1 cm3
molecular compound,sameindaefnasamband,,other,,"(also, covalent compound) composed of molecules formed by atoms of two or more different elements","(einnig, samgilt efnasamband) samsett úr sameindum sem myndast af atómum tveggja eða fleiri mismunandi frumefna"
molecularity,sameindatala,,other,,number of reactant entities involved in an elementary reaction,fjöldi hvarfefnaeinda sem taka þátt í grunnskrefshvarfi
monatomic ion,einatóma jón,,other,,ion composed of a single atom,jón sem samanstendur af einu atómi
mólhlutfall (X),mólhlutfall (X),,other,,,styrkurseining sem er skilgreind sem hlutfall mólmagns íhlutar í efnablöndu og heildarfjölda móla allra íhluta efnablöndunnar
mólstyrkur (M),mólstyrkur (M),,other,,,"styrkleikaeining, skilgreind sem fjöldi móla af uppleystu efni í 1 lítra af lausn"
net ionic equation,Nettójónajafna,,other,,chemical equation in which only those dissolved ionic reactants and products that undergo a chemical or physical change are represented (excludes spectator ions),Efnajafna þar sem aðeins þau uppleystu jónísku hvarfefni og myndefni sem gangast undir efna- eða eðlisfræðilega breytingu eru sýnd (sleppir áhorfendajónum)
neutralization reaction,Hlutleysing,,other,,reaction between an acid and a base to produce salt and water,efnahvarf milli sýru og basa sem myndar salt og vatn
nomenclature,nafnakerfi,,other,,system of rules for naming objects of interest,reglukerfi til að nefna fyrirbæri
nutritional calorie (Calorie),næringarkaloría (kaloría),,other,,"unit used for quantifying energy provided by digestion of foods, defined as 1000 cal or 1 kcal","eining sem notuð er til að magngreina orku sem fæst við meltingu matvæla, skilgreind sem 1000 cal eða 1 kkal"
overall reaction order,heildarstig efnahvarfs,,other,,sum of the reaction orders for each substance represented in the rate law,summa stiga efnahvarfs fyrir hvert efni sem kemur fram í hraðajöfnunni
oxidation-reduction reaction,Oxunar-afoxunarhvarf,,other,,"(also, redox reaction) reaction involving a change in oxidation number for one or more reactant elements","(einnig, redoxhvarf) efnahvarf sem felur í sér breytingu á oxunartölu fyrir eitt eða fleiri hvarfefni"
oxidizing agent,Oxari,,other,,"(also, oxidant) substance that brings about the oxidation of another substance, and in the process becomes reduced",efni sem veldur oxun annars efnis og afoxast sjálft í ferlinu
oxyacid,oxósýra,,other,,"compound that contains hydrogen, oxygen, and one other element, bonded in a way that imparts acidic properties to the compound (ability to release H+ ions when dissolved in water)","efnasamband sem inniheldur vetni, súrefni og eitt annað frumefni, tengt á þann hátt að það gefur efnasambandinu súra eiginleika (getu til að losa H+ jónir þegar það er leyst upp í vatni)"
oxyanion,oxóanjón,,other,,polyatomic anion composed of a central atom bonded to oxygen atoms,fjölatóma anjón sem samanstendur af miðatómi sem er tengt súrefnisatómum
parts per billion (ppb),milljarðshlutar (ppb),,other,,ratio of solute-to-solution mass multiplied by 109,hlutfall massa uppleysts efnis á móti massa lausnar margfaldað með 109
parts per million (ppm),milljónustu hlutar (ppm),,other,,ratio of solute-to-solution mass multiplied by 106,hlutfall massa uppleysts efnis á móti massa lausnar margfaldað með 106
pascal (Pa),paskal (Pa),,other,,SI unit of pressure; 1 Pa = 1 N/m2,SI-eining þrýstings; 1 Pa = 1 N/m2
percent composition,prósentusamsetning,,other,,percentage by mass of the various elements in a compound,massaprósenta hinna ýmsu frumefna í efnasambandi
periodic law,lotulögmálið,,other,,properties of the elements are periodic function of their atomic numbers.,eiginleikar frumefnanna eru lotubundin virkni sætistalna þeirra.
pnictogen,pniktógen,,other,,element in group 15,frumefni í hóp 15
pounds per square inch (psi),pund á fertommu (psi),,other,,unit of pressure common in the US,þrýstingseining sem er algeng í Bandaríkjunum
precipitation reaction,Útfelling,,other,,"reaction that produces one or more insoluble products; when reactants are ionic compounds, sometimes called double-displacement or metathesis",efnahvarf sem myndar eitt eða fleiri torleyst myndefni; þegar hvarfefnin eru jónaefni er það stundum kallað tvöföld skipti eða metatesa
precision,prentnákvæmni,,other,,how closely a measurement matches the same measurement when repeated,hversu nálægt mæling er sömu mælingu þegar hún er endurtekin
rate expression,hraðajafna,,other,,"mathematical representation defining reaction rate as change in amount, concentration, or pressure of reactant or product species per unit time","stærðfræðileg framsetning sem skilgreinir hvarfhraða sem breytingu á magni, styrk eða þrýstingi hvarfefnis eða myndefnis á tímaeiningu"
rate of diffusion,sveimhraði,,other,,amount of gas diffusing through a given area over a given time,magn gass sem sveimar í gegnum tiltekið svæði á tilteknum tíma
rate of reaction,hvarfhraði,,other,,measure of the speed at which a chemical reaction takes place,mælikvarði á hraða efnahvarfs
reaction diagram,hvarfrit,,other,,used in chemical kinetics to illustrate various properties of a reaction,notað í efnahraðafræði til að sýna ýmsa eiginleika hvarfs
reaction mechanism,hvarfgangur,,other,,stepwise sequence of elementary reactions by which a chemical change takes place,skrefaskipt röð grunnskrefshvarfa þar sem efnabreyting á sér stað
reaction order,stig efnahvarfs,,other,,"value of an exponent in a rate law (for example, zero order for 0, first order for 1, second order for 2, and so on)","gildi veldisvísis í hraðajöfnu (til dæmis núllta stig fyrir 0, fyrsta stig fyrir 1, annað stig fyrir 2 og svo framvegis)"
reducing agent,Afoxari,,other,,"(also, reductant) substance that brings about the reduction of another substance, and in the process becomes oxidized",efni sem veldur afoxun annars efnis og oxast sjálft í ferlinu
representative element,aðalflokkafrumefni,,other,,"(also, main-group element) element in columns 1, 2, and 12–18","frumefni í dálkum 1, 2 og 12–18"
reversible reaction,afturkræft efnahvarf,,other,,chemical reaction that can proceed in both the forward and reverse directions under given conditions,efnahvarf sem getur gengið bæði í framátt og bakátt við gefnar aðstæður
rounding,námundun,,other,,procedure used to ensure that calculated results properly reflect the uncertainty in the measurements used in the calculation,aðferð sem notuð er til að tryggja að útreiknaðar niðurstöður endurspegli á réttan hátt óvissuna í þeim mælingum sem notaðar eru í útreikningnum
rúmmetri (m3),rúmmetri (m3),,other,,,SI-eining rúmmáls
rúmsentimetri (cm3 eða cc),rúmsentimetri (cm3 eða cc),,other,,,rúmmál tenings með brúnarlengd nákvæmlega 1 cm
scientific method,vísindaleg aðferð,,other,,"path of discovery that leads from question and observation to law or hypothesis to theory, combined with experimental verification of the hypothesis and any necessary modification of the theory","uppgötvunarferli sem leiðir frá spurningu og athugun til lögmáls eða tilgátu til kenningar, ásamt tilraunakenndri sannprófun á tilgátunni og hvers kyns nauðsynlegri breytingu á kenningunni"
second (s),sekúnda (s),,other,,SI unit of time,SI-eining tíma
series,lota,,other,,"(also, period) horizontal row of the period table",lárétt röð í lotukerfinu
single-displacement reaction,Einföld skipti,,other,,"(also, replacement) redox reaction involving the oxidation of an elemental substance by an ionic species",oxunar-afoxunarhvarf sem felur í sér oxun frumefnis með jónaefni
spatial isomers,rúmísómerur,,other,,compounds in which the relative orientations of the atoms in space differ,efnasambönd þar sem afstæð afstaða atómanna í rúmi er ólík
spectator ion,Áhorfendajón,,other,,"ion that does not undergo a chemical or physical change during a reaction, but its presence is required to maintain charge neutrality","Jón sem gengst ekki undir efna- eða eðlisfræðilega breytingu í hvarfi, en nærvera hennar er nauðsynleg til að viðhalda hleðsluhlutleysi"
standard conditions of temperature and pressure (STP),staðalaðstæður hitastigs og þrýstings (STP),,other,,273.15 K (0 °C) and 1 atm (101.325 kPa),"273,15 K (0 °C) og 1 atm (101,325 kPa)"
standard molar volume,staðalmólrúmmál,,other,,"volume of 1 mole of gas at STP, approximately 22.4 L for gases behaving ideally","rúmmál 1 móls af gasi við STP, um það bil 22,4 L fyrir gös sem hegða sér eins og kjörgas"
standard state,staðalástand,,other,,"set of physical conditions as accepted as common reference conditions for reporting thermodynamic properties; 1 bar of pressure, and solutions at 1 molar concentrations, usually at a temperature of 298.15 K","safn eðlisfræðilegra skilyrða sem eru viðurkennd sem algeng viðmiðunarskilyrði til að skrá varmafræðilega eiginleika; 1 bar þrýstingur og lausnir með 1 mólstyrk, venjulega við 298,15 K hitastig"
staðalbrunavermi (ΔHc°),staðalbrunavermi (ΔHc°),,other,,,varmi sem losnar þegar eitt mól af efnasambandi gengst undir fullkominn bruna við staðalaðstæður
staðalmyndunarvermi (ΔHf°),staðalmyndunarvermi (ΔHf°),,other,,,vermibreyting efnahvarfs þar sem 1 mól af hreinu efni myndast úr frumefnum sínum í sínum stöðugasta efnisham við staðalaðstæður
stoichiometric factor,hlutfallaþáttur,,other,,"ratio of coefficients in a balanced chemical equation, used in computations relating amounts of reactants and products","hlutfall stuðla í stilltri efnajöfnu, notað í útreikningum sem tengjast magni hvarfefna og myndefna"
strong acid,Sterk sýra,,other,,acid that reacts completely when dissolved in water to yield hydronium ions,sýra sem hvarfast að fullu þegar hún er leyst upp í vatni og myndar hýdróníumjónir
structural isomer,byggingarísómera,,other,,one of two substances that have the same molecular formula but different physical and chemical properties because their atoms are bonded differently,annað tveggja efna sem hafa sömu sameindaformúlu en ólíka eðlis- og efnaeiginleika vegna þess að atóm þeirra eru tengd á mismunandi hátt
surroundings,umhverfi,,other,,all matter other than the system being studied,allt efni annað en kerfið sem er til rannsóknar
symbolic domain,táknrænt svið,,other,,"specialized language used to represent components of the macroscopic and microscopic domains, such as chemical symbols, chemical formulas, chemical equations, graphs, drawings, and calculations","sérhæft tungumál sem notað er til að tákna þætti stórsæja og smásæja sviðsins, svo sem efnatákn, efnaformúlur, efnajöfnur, gröf, teikningar og útreikninga"
system,kerfi,,other,,portion of matter undergoing a chemical or physical change being studied,hluti efnis sem er að gangast undir efna- eða eðlisfræðilega breytingu sem er til rannsóknar
termolecular reaction,þrísameindahvarf,,other,,elementary reaction involving three reactant entities,grunnskrefshvarf sem felur í sér þrjár hvarfefnaeindir
theory,kenning,,other,,"well-substantiated, comprehensive, testable explanation of a particular aspect of nature","vel rökstudd, yfirgripsmikil, prófanleg útskýring á tilteknum þætti náttúrunnar"
